PriceNoTax,YearNum,Month_ID,BrandR1,SeazonClass,ConstrGroup,ExpositionType,CityType,OperatorR1,OperatorR2,BudgetClass,GRP,Latitude,Longitude,Population,Seller_Cat,Dis
15000.0,2,9,1.0,2,2,0,2,0,0,1,9.84167895043606,42.778389,132.869271,145159.0,275,0.9426080401915286
35000.0,1,0,1.0,0,2,0,2,0,2,5,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,1,1.0,0,2,0,2,0,2,5,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,2,1.0,1,2,0,2,0,2,5,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,3,1.0,1,2,0,2,0,2,5,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,8,1.0,1,2,0,2,0,2,1,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,9,1.0,2,2,0,2,0,2,1,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,10,1.0,2,2,0,2,0,2,1,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,11,1.0,2,2,0,2,0,2,1,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
24000.0,1,5,1.0,0,2,1,3,0,2,3,7.98,57.10818100000001,65.610979,807271.0,112,1.1526795099383853
39800.0,1,2,2.0,1,2,0,2,0,1,3,5.39812808957631,61.252552,73.401089,380632.0,173,1.230991426412095
18000.0,2,6,1.0,0,2,0,2,0,0,3,7.81119825547082,57.806624,28.264717,210340.0,275,1.0986122886681098
18000.0,2,7,1.0,1,2,0,2,0,0,3,7.81119825547082,57.806624,28.264717,210340.0,275,1.0986122886681098
17900.0,1,1,1.0,0,2,0,2,0,2,5,5.6978569607839,57.908604,59.98604599999999,349008.0,172,1.078865525733275
17900.0,1,11,1.0,2,2,0,2,0,2,5,5.6978569607839,57.908604,59.98604599999999,349008.0,172,1.069323468600072
11110.0,1,8,0.0,1,0,0,4,2,4,1,0.52,56.835547,60.619574,1493749.0,115,1.0473032031030896
17670.0,3,1,1.0,0,2,1,2,0,1,5,5.19663484032775,56.999474,40.941431,404598.0,247,1.1142412624492393
23500.0,1,0,1.0,0,2,0,4,0,1,5,2.475,55.037888,73.308052,1154507.0,236,1.1504373565326957
23500.0,1,1,1.0,0,2,0,4,0,1,5,2.475,55.037888,73.308052,1154507.0,236,1.1231319058424283
23500.0,1,2,1.0,1,2,0,4,0,1,5,2.475,55.037888,73.308052,1154507.0,236,1.1231319058424283
23500.0,1,6,1.0,0,2,0,4,0,1,3,2.475,55.037888,73.308052,1154507.0,236,1.1231319058424283
23500.0,1,7,1.0,1,2,0,4,0,1,3,2.475,55.037888,73.308052,1154507.0,236,1.1231319058424283
23500.0,1,9,1.0,2,2,0,4,0,1,3,2.475,55.037888,73.308052,1154507.0,236,1.1021521153732337
23500.0,1,10,1.0,2,2,0,4,0,1,3,2.475,55.037888,73.308052,1154507.0,236,1.1021521153732337
23500.0,1,11,1.0,2,2,0,4,0,1,3,2.475,55.037888,73.308052,1154507.0,236,1.1021521153732337
12000.0,2,11,1.0,2,2,0,2,0,2,2,6.21479285972799,43.0377,44.6276,303597.0,46,0.9932517730102834
12000.0,3,0,1.0,0,2,0,2,0,2,5,6.21479285972799,43.0377,44.6276,303597.0,46,1.1260112628562242
12000.0,3,1,1.0,0,2,0,2,0,2,5,6.21479285972799,43.0377,44.6276,303597.0,46,1.1260112628562242
13000.0,2,11,1.0,2,2,0,2,0,2,2,6.21479285972799,43.007,44.6509,303597.0,46,1.0157879380326964
13000.0,3,0,1.0,0,2,0,2,0,2,5,6.21479285972799,43.007,44.6509,303597.0,46,1.1363526166509568
13000.0,3,1,1.0,0,2,0,2,0,2,5,6.21479285972799,43.007,44.6509,303597.0,46,1.1363526166509568
32800.0,3,1,1.0,0,2,0,2,0,2,5,8.54846971462979,64.537828,39.808507,181990.0,275,1.0822184788924332
11000.0,2,6,1.0,0,2,0,1,0,0,3,17.2031927026542,54.10750400000001,54.131013,59229.0,275,1.0198314108149953
11000.0,2,7,1.0,1,2,0,1,0,0,3,17.2031927026542,54.10750400000001,54.131013,59229.0,275,1.0198314108149953
6500.0,2,9,0.0,2,0,0,3,2,2,1,1.99,56.47609499999999,84.96542600000001,576624.0,40,1.032362903126909
25000.0,2,8,3.0,1,2,1,3,0,2,1,3.3792858481964,57.138547,65.518316,807271.0,141,1.1314021114911006
22550.0,2,1,0.0,0,2,0,4,2,2,4,4.40631578947368,54.778249,56.030299,1128787.0,227,1.077322969209446
22550.0,2,0,0.0,0,2,0,4,2,2,4,4.40631578947368,54.778249,56.030299,1128787.0,227,1.077322969209446
21060.0,1,10,2.0,2,2,1,3,2,4,1,6.88,54.631992,39.701575,539290.0,36,0.9808292530117262
27540.0,2,0,2.0,0,2,1,3,2,4,5,6.88,54.631992,39.701575,539290.0,36,0.9808292530117262
27540.0,2,1,2.0,0,2,1,3,2,4,5,6.88,54.631992,39.701575,539290.0,36,0.9808292530117262
34083.33,2,7,1.0,1,2,1,4,2,4,2,5.35,57.97718,56.166213,1055397.0,18,1.1613918889446966
34083.33,2,6,1.0,0,2,1,4,2,4,2,5.35,57.97718,56.166213,1055397.0,18,1.1613918889446966
25000.0,1,2,0.0,1,1,0,3,0,1,2,3.00638029321309,53.766737,87.12784,549403.0,275,1.0508216248317612
22000.0,1,8,1.0,1,2,0,2,0,1,3,5.39812808957631,61.272989,73.35124499999999,380632.0,90,1.0198314108149953
8000.0,3,3,1.0,1,2,0,1,0,0,4,13.3561243607468,56.161875,95.672227,88917.0,202,1.0473189942805592
8000.0,3,4,1.0,1,2,0,1,0,0,4,13.3561243607468,56.161875,95.672227,88917.0,202,1.0473189942805592
18333.33,1,0,3.0,0,1,2,4,0,2,5,1.61220796915729,56.819555,60.54026700000001,1493749.0,262,1.0457227829237379
34000.0,2,1,1.0,0,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
34000.0,2,11,1.0,2,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
34000.0,2,7,1.0,1,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.1332978466559998
34000.0,2,8,1.0,1,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
